Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response #,Explanation,Knowledge Area
"In our data centers we have redundancy on many things. Looking at our servers, which of these elements are commonly NOT redundant?",multiple-choice,Hard disks.,Power supplies.,Motherboards.,Network cards.,,,3,"Motherboards are rarely redundant, instead we use redundant servers. NICs, PSUs and disks are almost always redundant in servers.",CBK 7: Security Operations
We are using server clustering on critical applications. What is the MAIN purpose of server clustering?,multiple-choice,Load balancing.,Fault tolerance.,Traffic distribution.,Making configuration easier.,,,2,"Clustering is designed for fault tolerance, often combined with load balancing, but not innately. Clustering can be active/active, this is load balancing, with 2 servers both servers would actively process traffic. Active/passive: There is a designated primary active server and a secondary passive server, they are connected and the passive sends a keep-alive or heartbeat every 1-3 seconds, ""are you alive, are you alive...""",CBK 7: Security Operations
"In IT Security we are talking about something as an event, what does that mean?",multiple-choice,"Something changed, neither negative or positive.",A triggered warning when something predefined happens (i.e. disk usage over 85%).,A system has crashed.,We are being hacked.,,,1,"Event: An observable change in state, this is neither negative nor positive, it is just something has changed. A system powered on, traffic from one segment to another, an application started.",CBK 7: Security Operations
"Looking at our incident management plan, which of these can we possibly mitigate with a redundant geographical distant site?",multiple-choice,Incidents.,Emergencies.,Disasters.,Events.,,,3,"Disaster: Our entire facility is unusable for 24 hours or longer. If we are geographically diverse and redundant we can mitigate this a lot. Yes, a snowstorm can be a disaster.",CBK 7: Security Operations
We have had a breach and an attacker gained access to some of our servers and workstations. We are planning to use the digital forensics from the time of the attack in a court of law. What should the evidence NOT be?,multiple-choice,Accurate.,Authentic.,Admissible.,Altered.,,,4,"The evidence we collect must be accurate, complete, authentic, convincing, admissible.",CBK 7: Security Operations
Which of these is NOT protected by the 4th amendment in the US?,multiple-choice,Anything search warranted.,Your emails.,Your internet history.,Anything done online.,,,1,"We ensure our evidence is acquired in legal manner remember the US Constitution 4th amendment. The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated. Anything supinated, search warranted, turned over voluntary and in exigent circumstances (immediate danger of being destroyed), can allow law enforcement to bypass the 4th amendment.",CBK 7: Security Operations
Jane is doing network forensics on an attack. Which of these is a COMMON form used?,multiple-choice,Catch-as-you-can.,Catch-and-release.,"Stop, act and prevent.",Stop and release.,,,1,"Network forensics: Systems used to collect network data for forensics use usually come in two forms: Catch-it-as-you-can: All packets passing through a certain traffic point are captured and written to storage with analysis being done subsequently in batch mode. This approach requires large amounts of storage. Stop, look and listen: Each packet is analyzed in a basic way in memory and only certain information is saved for future analysis. This approach requires a faster processor to keep up with incoming traffic.",CBK 7: Security Operations
In which of the sub-plans of our Business Continuity Plan (BCP) would we look at for dealing with evacuating staff in an emergency?,multiple-choice,COOP.,CCP.,OEP.,CIRP.,,,3,"OEP (Occupant Emergency Plan): How do we protect our facilities, our staff and the environment in a disaster event. This could be fires, hurricanes, floods, criminal attacks, terrorism, etc. Focuses on safety and evacuation, details how we evacuate, how often we do the drills and the training staff should get.",CBK 7: Security Operations
We are performing digital forensics on one of our hard drives after an attack. Which of these could be part of what use?,multiple-choice,Symmetric encryption.,Asymmetric encryption.,Hashing.,PKI.,,,3,"Digital forensics: The evidence we collect must be accurate, complete, authentic, convincing, admissible. Everything is documented. Chain of custody: who had it when? What was done? When did they do it? Pull the original, put it in write protected machine, we make a hash. We only do examinations and analysis on bit level copies. We confirm they have the same hash as the original before and after examination.",CBK 7: Security Operations
"After an attack, we are performing digital forensics on one of the compromised hard drives. Which of these could be part of what use?",multiple-choice,RAID.,A write blocker.,Access lists.,BCP.,,,2,"Digital forensics: The evidence we collect must be accurate, complete, authentic, convincing, admissible. To ensure the disk is not written to and inadmissible, we can use a write blocker. For instance, a Tableau write blocker. Everything is documented. Chain of custody: who had it when? What was done? When did they do it? Pull the original, put it in write protected machine, we make a hash. We only do examinations and analysis on bit level copies. We confirm they have the same hash as the original before and after examination.",CBK 7: Security Operations
"When we are doing our digital forensics, in which order would we perform the steps?",multiple-choice,"Analyze, identify, acquire, report.","Identify, acquire, analyze, report.","Report, identify, analyze, report.","Identify, analyze, acquire, report.",,,2,"The digital (computer) forensics process: Identify the potential evidence, acquire the evidence, analyze the evidence, make a report. We need to be more aware of how we gather our forensic evidence, attackers are covering their tracks, deleting the evidence and logs.",CBK 7: Security Operations
What could be a reason we would chose incremental backups over differential backups?,multiple-choice,Faster restores.,Faster backup time.,To exclude certain directories from the backup.,To include all directories in the backup.,,,2,"Incremental backups: Backs up everything that has changed since the last backup. Clears the archive bits. Incrementals are often fast to do, they only backup what has changed since the last incremental or full. Since they clear the archive bit each backup is faster than differential.",CBK 7: Security Operations
"In our incident management, what are the 3 LAST phases in order?",multiple-choice,"Remediation, recovery, lessons learned.","Recovery, remediation, lessons learned.","Reporting, recovery, lessons learned.","Reporting, remediation, lessons learned.",,,2,"The last 3 are recovery, remediation, lessons learned. The current exam lists a 7-step lifecycle, but does not include the first step in most incident handling methodologies preparation. 
Preparation > Detection (Identification) > Response (Containment) > Mitigation (Eradication) > Reporting > Recovery > Remediation > Lessons Learned (Post-incident Activity, Post Mortem, or Reporting).",CBK 7: Security Operations
What would we have our staff sign to acknowledge they understand and agree with their assigned responsibilities during a disaster?,multiple-choice,MOU.,MTT.,MRA.,MIT.,,,1,"MOU/MOA (Memorandum of Understanding/Agreement): Staff signs a legal document acknowledging they are responsible for a certain activity. If the test asks ""A critical staff member didn't show, and they were supposed to be there. What could have fixed that problem?"" it would be the MOU/MOA. While slightly different they are used interchangeably on the test.",CBK 7: Security Operations
"In designing our backup strategy, you are asked if there any types of backups you can't use together. Which of these would be the right answer?",multiple-choice,Full and incremental.,Incremental and copy.,Differential and copy,Differential and incremental.,,,4,"Never use both incremental and differential on the same data, it is fine on the same backup solution, different data has different needs.",CBK 7: Security Operations
"When we are using Redundant Array of Independent Disks (RAID) 5 on one of our servers, Jane is adding which type of a disk pool?",multiple-choice,Mirroring.,Striping.,Striping with parity.,Mirroring with parity.,,,3,"RAID 5: Block level striping with distributed parity, requires at least 3 disks. Combined speed with redundancy.",CBK 7: Security Operations
Which type of intrusion system would only alerts us if they discover malicious traffic?,multiple-choice,IPS.,IDS.,Heuristic.,Pattern.,,,2,"IDS (Intrusion Detection System): They are passive, they monitors, but they take no action other than sending out alerts. Events trigger alerts: Emails/text message to administrators or an alert on a monitoring tool, but if not monitored right this can take hours before noticed.",CBK 7: Security Operations
"Which type of backup will back up everything, but does NOT clear the archive bit?",multiple-choice,Full.,Copy.,Incremental.,Differential.,,,2,"Copy backup: This is a full backup with one important difference, it does not clear the archive bit. Often used before we do system updates, patches and similar upgrades. We do not want to mess up the backup cycle, but we want to be able to revert to a previous good copy if something goes wrong.",CBK 7: Security Operations
"If we implement disk mirroring with redundancy, we would need at least how many disks?",multiple-choice,1,2,3,4,,,2,"Disk mirroring: Writing the same data across multiple hard disks, this is slower, the RAID controller has to write all data twice. Uses at least 2 times as many disks for the same data storage, needs at least 2 disks.",CBK 7: Security Operations
Which sub-plan would we look at in our Business Continuity Plan (BCP) for dealing with continuing our day to day operations?,multiple-choice,COOP.,CCP.,OEP.,CIRP.,,,1,"COOP (Continuity of Operations Plan): How we keep operating in a disaster, how do we get staff to alternate sites, what are all the operational things we need to ensure we function even if at reduced capacity for up to 30 days.",CBK 7: Security Operations
"When Jane is designing the specifications in our Disaster Recovery Plan (DRP), she is including technology and countermeasures for Internet Service Provider (ISP) outages. Which type of disasters is she focused on?",multiple-choice,Natural.,Man made.,Environmental.,All of these.,,,3,"Environmental: This is not nature, but the environments we work in, the power grid, the internet connections, hardware failures, software flaws, …",CBK 7: Security Operations
"If we look at our Disaster Recovery Plan (DRP) for what to do when we are attacked, in which phase of incident management do we shut system access down?",multiple-choice,Preparation.,Detection.,Response.,Recovery.,,,3,"Response: The response phase is when the incident response team begins interacting with affected systems and attempts to keep further damage from occurring as a result of the incident. This can be taking a system off the network, isolating traffic, powering off the system, or however our plan dictates to isolate the system to minimize both the scope and severity of the incident. Knowing how to respond, when to follow the policies and procedures to the letter and when not to, is why we have senior staff handle the responses. We make bit level copies of the systems, as close as possible to the time of incidence to ensure they are a true representation of the incident.",CBK 7: Security Operations
"In our Disaster Recovery Plan (DRP), we could have listed the minimum hardware requirements for a certain system to function. What would that be called?",multiple-choice,MTBF.,MTTR.,MOR.,MTD.,,,3,"MOR (Minimum Operating Requirements): The minimum environmental and connectivity requirements for our critical systems to function, can also at times have minimum system requirements for DR sites. We may not need a fully spec'd system to resume the business functionality.",CBK 7: Security Operations
"As part of our disaster recovery response, we are paying a provider to keep a copy of our servers and data. The servers are to remain down always, with the exception of patches and database syncs, and are only to be spun up if we have a disaster. What would this be called?",multiple-choice,Reciprocal.,Redundant.,Mobile site.,Subscription site.,,,4,"Subscription/cloud site: We pay someone else to have a minimal or full replica of our production environment up and running within a certain number of hours (SLA). They have fully built systems with our applications and receive backups of our data, if we are completely down we contact them and they spin the systems up and apply the latest backups. How fast and how much is determined by our plans and how much we want to pay for this type of insurance.",CBK 7: Security Operations
How would a US government agency be allowed to access company emails?,multiple-choice,Anything turned over voluntary.,Your emails.,Your internet history.,Anything done online.,,,1,"Anything subpoena, search warranted, turned over voluntary and in exigent circumstances (immediate danger of being destroyed), can allow law enforcement to bypass the 4th amendment. If it was legal will be decided in a court of law later. We need ensure our evidence is acquired in legal manner remember the US Constitution 4th amendment. The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated.",CBK 7: Security Operations
